nome_repositorio;release_ant;release_ant_sha;release_ant_date;release_atu;release_atu_sha;release_atu_date;kloc_ant;kloc_atu;qtd_commits_test;qtd_commits_testing;qtd_commits_refactor_test;total_commits_teste;qtd_commits_bug;qtd_commits_fix;qtd_commits_hotfix;qtd_commits_patch;total_commit_correcao;numero_ciclo
googlemaps/android-maps-utils;1.0.0;10fdcaa45c79516182e141dbe78b2d064109fcd3;2020-02-25 14:20:48 -0800;v2.0.0;f4b83bad8adc419a700947181e93e716a0e1a7a0;2020-06-19T21:17:27+00:00;11.168;8.942;3;0;0;3;0;8;0;0;8;1
googlemaps/android-maps-utils;v2.0.0;f4b83bad8adc419a700947181e93e716a0e1a7a0;2020-06-19T21:17:27+00:00;v3.0.0;c1bbe1d587a9651ac7efd4c9679a603fe4e54ea8;2023-01-09T20:27:15+00:00;8.942;8.99;15;0;1;16;0;18;0;0;18;2
helidon-io/helidon;1.0.0;ea8393129a902be3f4e07c841165eec2f34b86cd;2019-02-14T00:27:43+00:00;2.0.0;268f5aa1811adf9fd3742ca2203e484abfa77ce2;2020-07-13T05:18:21+00:00;64.157;144.586;443;1;0;444;5;182;0;0;187;1
helidon-io/helidon;2.0.0;268f5aa1811adf9fd3742ca2203e484abfa77ce2;2020-07-13T05:18:21+00:00;3.0.0;305bee40a3d32b53377f95403e6ce43c13a24760;2022-08-08T09:58:49+00:00;144.586;220.33;466;5;0;471;4;166;0;1;171;2
helidon-io/helidon;3.0.0;305bee40a3d32b53377f95403e6ce43c13a24760;2022-08-08T09:58:49+00:00;4.0.0;ce8c23320fd96326b93bce39a389814cdf6b1b1a;2023-10-21T14:18:17+00:00;220.33;293.602;520;5;1;526;1;115;0;0;116;3
hazelcast/hazelcast;v2.0;80cc83365405886a5afa8f95b00ab67a78128018;2012-06-04 12:21:57 +0300;v3.0;f4697629e50efa7117f263d30802f4dd291669bb;2013-08-02 17:47:20 +0300;72.568;99.269;693;5;7;705;24;551;0;0;575;1
hazelcast/hazelcast;v3.0;f4697629e50efa7117f263d30802f4dd291669bb;2013-08-02 17:47:20 +0300;v4.0;8b959f580ab91d42c071eac142feb04c5acea72f;2020-02-04T13:59:14+01:00;99.269;378.294;9732;90;96;9918;180;7436;0;27;7643;2
hazelcast/hazelcast;v4.0;8b959f580ab91d42c071eac142feb04c5acea72f;2020-02-04T13:59:14+01:00;v5.0;1e16b359d94195fc4ee11749f5c95ef742438352;2021-09-22T15:19:09+00:00;378.294;549.633;2531;7;4;2542;31;1036;0;11;1078;3
fabric8io/kubernetes-client;1.0.0;3c6b4ea71b177b60e274b6cf7c7902a925b817b3;2015-07-17 11:07:05 -0400;v2.0.0;4b28dbde182d6e9967f0412d63a10d01c04fc51d;2017-02-07 12:20:09 +0000;1.853;14.416;179;0;0;179;2;132;0;9;143;1
fabric8io/kubernetes-client;v2.0.0;4b28dbde182d6e9967f0412d63a10d01c04fc51d;2017-02-07 12:20:09 +0000;v3.0.0;7c6abcf92dd918fd255f7551c2ef89cdd212d99d;2017-10-10 11:49:22 +0000;14.416;17.464;53;2;0;55;0;65;0;5;70;2
fabric8io/kubernetes-client;v3.0.0;7c6abcf92dd918fd255f7551c2ef89cdd212d99d;2017-10-10 11:49:22 +0000;v4.0.0;20f64ce58ad4bdbe0de3746d80b393f8d384a3c1;2018-07-09 19:57:49 +0000;17.464;19.732;91;1;1;93;1;69;0;4;74;3
fabric8io/kubernetes-client;v4.0.0;20f64ce58ad4bdbe0de3746d80b393f8d384a3c1;2018-07-09 19:57:49 +0000;v5.0.0;427919c5ae79ea7982f3a9d0a484e37e3ed0816b;2020-12-30T15:58:04+01:00;19.732;271.139;487;1;5;493;13;449;0;7;469;4
fabric8io/kubernetes-client;v5.0.0;427919c5ae79ea7982f3a9d0a484e37e3ed0816b;2020-12-30T15:58:04+01:00;v6.0.0;43af167c663031dac37f08dda36e35e512462071;2022-07-12T14:52:52+02:00;271.139;992.004;704;0;10;714;6;452;0;17;475;5
fabric8io/kubernetes-client;v6.0.0;43af167c663031dac37f08dda36e35e512462071;2022-07-12T14:52:52+02:00;v7.0.0;e9039a04503a140d60996bcae5931041f933ac89;2024-12-03T11:48:00+01:00;992.004;1299.273;795;3;21;819;1;477;0;10;488;6
